Geneid,Chr,Strand,NExons,P.Value,FDR
gene-Prn,NC_000068.8,+,5,0.085796095603073,0.379870217197721
gene-Frmpd3,NC_000086.8,+,9,0.085943201476066,0.380334018297873
gene-Nlk,NC_000077.7,-,11,0.0859596640752093,0.380334018297873
gene-Clptm1,NC_000073.7,-,15,0.0859943294163043,0.380357271662471
gene-Zfp280d,NC_000075.7,+,26,0.0861571591838109,0.380905268133995
gene-Lrriq1,NC_000076.7,-,2,0.0861771294023096,0.380905268133995
gene-Rdh10,NC_000067.7,+,6,0.0862571059622305,0.381128510901786
gene-Tbk1,NC_000076.7,-,21,0.086320807612824,0.381171348737109
gene-Tmem263,NC_000076.7,+,3,0.0863257465747306,0.381171348737109
gene-Suz12,NC_000077.7,+,16,0.0865724355618787,0.382110260115793
gene-Nat8l,NC_000071.7,+,3,0.0865974771823543,0.382110260115793
gene-Osbpl2,NC_000068.8,+,14,0.0867498508946611,0.38246890845609
gene-Iscu,NC_000071.7,+,8,0.0867530657460983,0.38246890845609
gene-Acadvl,NC_000077.7,-,20,0.0867674767965799,0.38246890845609
gene-Zfp68,NC_000071.7,-,7,0.086807678404577,0.382515742693831
gene-Bach1,NC_000082.7,+,7,0.0868775228360288,0.382693120857752
gene-Tmx1,NC_000078.7,+,8,0.0869723048107979,0.382926077835727
gene-Pik3cg,NC_000078.7,-,2,0.0869896247337328,0.382926077835727
gene-Zmat3,NC_000069.7,-,7,0.0871890178437503,0.383673211219198
gene-Large1,NC_000074.7,-,19,0.087289345847891,0.383984050969651
gene-Jmy,NC_000079.7,-,11,0.0873689141165095,0.384162377361412
gene-Ap3m2,NC_000074.7,-,9,0.0873925217701561,0.384162377361412
gene-Fndc3a,NC_000080.7,-,27,0.0874189961010311,0.384162377361412
gene-Syne1,NC_000076.7,-,74,0.0874605776828556,0.384214555425398
gene-Ripor2,NC_000079.7,+,25,0.0875356535569535,0.384413788608516
gene-Cdh6,NC_000081.7,-,14,0.0875901301338992,0.384474330162718
gene-Sptlc2,NC_000078.7,-,12,0.087631587348364,0.384474330162718
gene-Coro7,NC_000082.7,-,28,0.0876386240871949,0.384474330162718
gene-Sh3kbp1,NC_000086.8,+,24,0.0876772832202441,0.384513497418588
gene-Pdhb,NC_000080.7,+,11,0.0878402822730472,0.385004253437784
gene-Slc11a2,NC_000081.7,-,20,0.0878487243404392,0.385004253437784
gene-St7l,NC_000069.7,+,17,0.0879027595424642,0.385110565434515
gene-Bnip2,NC_000075.7,+,22,0.0879493254187098,0.385184092665145
gene-Gpam,NC_000085.7,-,21,0.0880457604606008,0.385475903871683
gene-Tmem168,NC_000072.7,-,5,0.0881688600972864,0.385792217519306
gene-Trappc10,NC_000076.7,-,25,0.0881776691399574,0.385792217519306
gene-Fkbp4,NC_000072.7,-,10,0.0883902975769033,0.386445349226102
gene-Decr2,NC_000083.7,-,15,0.0884038290612419,0.386445349226102
gene-Zbtb46,NC_000068.8,-,9,0.0884165923111448,0.386445349226102
gene-Draxin,NC_000070.7,-,7,0.0884467864539951,0.38644671932754
gene-Asap2,NC_000078.7,+,35,0.0887063211275268,0.387250664558951
gene-Aldh9a1,NC_000067.7,+,14,0.0887123161420852,0.387250664558951
gene-Pnpla7,NC_000068.8,+,14,0.0887206154092764,0.387250664558951
gene-Zkscan2,NC_000073.7,-,12,0.0888351157747716,0.387553489811334
gene-Vps18,NC_000068.8,+,5,0.0888499263350039,0.387553489811334
gene-Txnl4a,NC_000084.7,+,10,0.0889042624835233,0.387659752764466
gene-Myo1e,NC_000075.7,+,21,0.0890305546193704,0.388079596525891
gene-Gla,NC_000086.8,-,8,0.0891916890854782,0.38865098212348
gene-Hycc1,NC_000071.7,-,14,0.0892968663536568,0.388755099803253
gene-Ttll11,NC_000068.8,-,7,0.0893179595667714,0.388755099803253
gene-Klhl18,NC_000075.7,-,12,0.0893206897006175,0.388755099803253
gene-Maea,NC_000071.7,+,9,0.0893358197336478,0.388755099803253
gene-Iqcb1,NC_000082.7,+,18,0.0894025740901898,0.388786243664659
gene-Dvl3,NC_000082.7,+,20,0.0894030997184487,0.388786243664659
gene-Mbtd1,NC_000077.7,+,37,0.089471143578394,0.388799647113717
gene-Ncald,NC_000081.7,-,11,0.0894813326859058,0.388799647113717
gene-Slc30a4,NC_000068.8,-,7,0.0894963697098535,0.388799647113717
gene-Pam,NC_000067.7,-,30,0.0896665131467421,0.389407996818944
gene-Gpr158,NC_000068.8,+,4,0.0898731016042048,0.390174160136684
gene-Myh14,NC_000073.7,-,8,0.0899517504623394,0.390275946445958
gene-Tmem170b,NC_000079.7,+,3,0.0899587000014579,0.390275946445958
gene-Nudt16l1,NC_000082.7,+,4,0.0899870774222414,0.390275946445958
gene-Tle1,NC_000070.7,-,26,0.0901314299418112,0.390646172613092
gene-Map2k6,NC_000077.7,+,16,0.0901328523217713,0.390646172613092
gene-Cep192,NC_000084.7,+,47,0.0902781367162394,0.391144771239907
gene-Map3k11,NC_000085.7,+,10,0.0904578520522818,0.391792163627649
gene-Ypel4,NC_000068.8,+,9,0.090517229754781,0.391828578317037
gene-Gm20716,NC_000068.8,-,12,0.090526853167193,0.391828578317037
gene-Ebf4,NC_000068.8,+,25,0.0905713401299148,0.391889977216523
gene-Luc7l,NC_000083.7,+,13,0.0906285275746302,0.3920062699407
gene-Hecw2,NC_000067.7,-,28,0.0908193497335931,0.392700317654483
gene-Nos1,NC_000071.7,+,28,0.0908651214223974,0.392766916897014
gene-Map3k1,NC_000079.7,-,19,0.0909740173144666,0.393004775677006
gene-Exoc6,NC_000085.7,+,23,0.090980924640606,0.393004775677006
gene-Telo2,NC_000083.7,-,27,0.0912786032585357,0.394158990298044
gene-Usp38,NC_000074.7,-,11,0.0915862884222227,0.395281955680285
gene-Adcy9,NC_000082.7,-,13,0.0915997851367676,0.395281955680285
gene-Rrn3,NC_000082.7,+,18,0.0917018830940188,0.395590545048347
gene-Adamts8,NC_000075.7,+,3,0.0918533475891676,0.396095945067009
gene-Sertad2,NC_000077.7,+,4,0.0918802934509416,0.396095945067009
gene-Crat,NC_000068.8,-,22,0.091924602687779,0.396154910550165
gene-Setd1a,NC_000073.7,+,19,0.0919567801067581,0.396161571326017
gene-Ddhd2,NC_000074.7,-,33,0.0924368091347465,0.397972367326122
gene-Snx16,NC_000069.7,-,8,0.0924386446646308,0.397972367326122
gene-Tbc1d5,NC_000083.7,-,24,0.0925843543017268,0.398467039661974
gene-Cep89,NC_000073.7,+,26,0.0926198256100953,0.398487094017087
gene-Usp5,NC_000072.7,-,23,0.0926773533417,0.398500083813647
gene-Prag1,NC_000074.7,+,6,0.0926844701238266,0.398500083813647
gene-Gjc1,NC_000077.7,-,8,0.0929020180999993,0.399278567793957
gene-Adam17,NC_000078.7,-,19,0.0929272782076711,0.399278567793957
gene-Ptpn23,NC_000075.7,-,25,0.0930846190787558,0.399821779656442
gene-Nudt4,NC_000076.7,-,6,0.093186160509889,0.400113243138547
gene-Tubb2a,NC_000079.7,-,4,0.0932402229140018,0.400113243138547
gene-Oprd1,NC_000070.7,-,2,0.0932728865042979,0.400113243138547
gene-Gnal,NC_000084.7,+,14,0.0932762257838645,0.400113243138547
gene-Maged2,NC_000086.8,-,18,0.0934061350928977,0.400537647598291
gene-Atad5,NC_000077.7,+,26,0.0934570118298887,0.400622981105718
gene-Hjurp,NC_000067.7,-,12,0.0935178201245191,0.400750817650897
gene-Coa5,NC_000067.7,-,3,0.0936147667658007,0.401033381444883
gene-Map3k7,NC_000070.7,+,20,0.0937531170658033,0.401493067222528
gene-Ldb1,NC_000085.7,-,17,0.0938845957237699,0.401923030948532
gene-Nol9,NC_000070.7,+,12,0.0939765440846111,0.402183535620872
gene-Kctd10,NC_000071.7,-,8,0.0941765906024152,0.402906333529949
gene-Kansl3,NC_000067.7,-,26,0.0942090460104914,0.402911902134155
gene-Gpr161,NC_000067.7,+,9,0.0942568888664229,0.402983254118825
gene-Elavl3,NC_000075.7,-,9,0.0944793892998048,0.403801038273092
gene-Disp1,NC_000067.7,-,8,0.0945987052267106,0.404177421439395
gene-Srpk2,NC_000071.7,-,25,0.0946378165693429,0.40421099131153
gene-Ctbp2,NC_000073.7,-,14,0.0948455266292521,0.40488379557316
gene-Papola,NC_000078.7,+,29,0.0948579525699123,0.40488379557316
gene-Tmem165,NC_000071.7,+,6,0.0949792344568312,0.405178154237514
gene-Kcnt2,NC_000067.7,+,25,0.0949895742401718,0.405178154237514
gene-Tecpr2,NC_000078.7,+,22,0.0950567433538594,0.405330979820463
gene-Cdadc1,NC_000080.7,-,22,0.0951813477567557,0.405637860885617
gene-Npcd,NC_000081.7,-,9,0.0951914411032126,0.405637860885617
gene-Dcaf6,NC_000067.7,-,24,0.0954260657514147,0.406375431378941
gene-Cops4,NC_000071.7,+,11,0.0954273706872221,0.406375431378941
gene-Brpf1,NC_000072.7,+,18,0.0955650912110486,0.406827954125244
gene-Specc1,NC_000077.7,+,14,0.0956043787391395,0.40686128010309
gene-Pisd-ps2,NC_000083.7,-,8,0.0957187896316997,0.407214179706175
gene-Mysm1,NC_000070.7,-,24,0.0957934544561509,0.407397812062282
gene-Fam222b,NC_000077.7,+,5,0.0959412929764009,0.407776823143583
gene-Tox,NC_000070.7,-,11,0.0959456330956409,0.407776823143583
gene-Vps13a,NC_000085.7,-,69,0.0960325164584872,0.408012002417088
gene-Ankrd28,NC_000080.7,-,33,0.0960732902028859,0.408051186270582
gene-Fam114a2,NC_000077.7,-,17,0.0961183529236089,0.408108554944529
gene-Fam78b,NC_000067.7,+,6,0.0962137460755434,0.4083068205502
gene-Nacad,NC_000077.7,-,12,0.0962281906005575,0.4083068205502
gene-Ube2g1,NC_000077.7,+,6,0.0963014563063379,0.408463406238296
gene-Epb41l2,NC_000076.7,+,25,0.0963282601891906,0.408463406238296
gene-E2f6,NC_000078.7,+,11,0.0964037516180433,0.408569124225551
gene-Vezt,NC_000076.7,-,16,0.0964163741696731,0.408569124225551
gene-Jade1,NC_000069.7,+,10,0.0964926491056003,0.408758411687759
gene-Tead3,NC_000083.7,-,13,0.0965533047391859,0.408881430973114
gene-Ttyh1,NC_000073.7,+,20,0.0967287583368367,0.409490354032834
gene-Man1b1,NC_000068.8,+,14,0.0969106500006806,0.410126124495681
gene-Ptgfrn,NC_000069.7,-,9,0.0969433312809538,0.41013022684219
gene-Pcif1,NC_000068.8,+,20,0.0970988409749836,0.410653796706822
gene-Kctd9,NC_000080.7,+,11,0.0971859026177743,0.410817451164853
gene-Haus7,NC_000086.8,-,10,0.0972185472157761,0.410817451164853
gene-Zyx,NC_000072.7,+,14,0.0972328321360562,0.410817451164853
gene-Slc36a4,NC_000075.7,+,14,0.0974400191544495,0.411558382666393
gene-Siah3,NC_000080.7,+,2,0.0975093904866587,0.411716926922611
gene-Hps3,NC_000069.7,-,20,0.0976416829637971,0.412140954886027
gene-Dync1li1,NC_000075.7,+,13,0.0979846669162323,0.412845617757665
gene-Dele1,NC_000084.7,+,13,0.097986755972267,0.412845617757665
gene-Mapk6,NC_000075.7,-,7,0.0979899021335301,0.412845617757665
gene-Itm2b,NC_000080.7,-,6,0.097990876522938,0.412845617757665
gene-Ppp1r16b,NC_000068.8,+,12,0.0980008241240782,0.412845617757665
gene-Gdf1,NC_000074.7,+,9,0.0980437782761361,0.412845617757665
gene-Ctcf,NC_000074.7,+,14,0.0980622977472062,0.412845617757665
gene-Dpm1,NC_000068.8,-,9,0.0980865949397766,0.412845617757665
gene-Prxl2c,NC_000079.7,-,6,0.0981159807364129,0.412845617757665
gene-Ptdss1,NC_000079.7,+,13,0.0981278457424467,0.412845617757665
gene-Dcaf12l1,NC_000086.8,-,2,0.0982529999482211,0.413097032319641
gene-Nid2,NC_000080.7,+,21,0.098280401520792,0.413097032319641
gene-Acadsb,NC_000073.7,+,13,0.0982834275456225,0.413097032319641
gene-Angel2,NC_000067.7,+,13,0.0983316261708274,0.413165341542336
gene-Sf3b2,NC_000085.7,-,22,0.0984288667850675,0.413439601861409
gene-Arrb1,NC_000073.7,+,18,0.0985933848119766,0.413886984448018
gene-Tars1,NC_000081.7,-,19,0.0985993813565564,0.413886984448018
gene-Golga1,NC_000068.8,-,31,0.0987113500731237,0.414222547208212
gene-Gm39746,NC_000067.7,-,2,0.0988829547580467,0.414808061591248
gene-Smarcb1,NC_000076.7,-,10,0.0989703965168866,0.415040252319356
gene-Adarb1,NC_000076.7,-,13,0.0990148024403305,0.41509187681063
gene-Anapc5,NC_000071.7,-,23,0.0990586858490742,0.415141278057704
gene-Dok7,NC_000071.7,+,7,0.09911483079736,0.415144159950993
gene-Stat2,NC_000076.7,+,24,0.0991235727154307,0.415144159950993
gene-Pus7,NC_000071.7,-,19,0.0993621434184551,0.416008611470016
gene-Usp12,NC_000071.7,-,10,0.0994340272899838,0.41617484625934
gene-Bmt2,NC_000072.7,-,5,0.0994899717676309,0.416274281744022
gene-Pogk,NC_000067.7,-,6,0.099597433921271,0.416589137420375
gene-Trps1,NC_000081.7,-,9,0.0997819501582167,0.417225981699391
gene-Arhgap44,NC_000077.7,-,21,0.0998347904258353,0.4172528176022
gene-Gm38865,NC_000072.7,-,2,0.0998528934105628,0.4172528176022
gene-Idh1,NC_000067.7,-,9,0.0999704842819071,0.417609261375292
gene-Fnbp4,NC_000068.8,+,26,0.10035395273569,0.419026266848598
gene-Tmem19,NC_000076.7,-,12,0.100374497386295,0.419026266848598
gene-Rps6ka2,NC_000083.7,+,21,0.10047967351181,0.419055149435446
gene-Deaf1,NC_000073.7,-,30,0.100540187316673,0.419055149435446
gene-Cep85,NC_000070.7,-,14,0.100541126217814,0.419055149435446
gene-Sfswap,NC_000071.7,+,25,0.100542964063494,0.419055149435446
gene-Bcl9,NC_000069.7,-,13,0.100543426018572,0.419055149435446
gene-Hs3st4,NC_000073.7,+,3,0.100642230899642,0.419254642652052
gene-Cep295,NC_000075.7,-,35,0.100656125062601,0.419254642652052
gene-Lrrc28,NC_000073.7,-,11,0.10072853762418,0.419421177428692
gene-Znrf3,NC_000077.7,-,8,0.100889668711766,0.419956899082482
gene-Phyhip,NC_000080.7,+,5,0.10114421895843,0.420881011515241
gene-Adgrg1,NC_000074.7,+,23,0.101245931371607,0.42116874571534
gene-Bfar,NC_000082.7,+,8,0.101376322051278,0.421575554047965
gene-Wdr43,NC_000083.7,+,19,0.101466137764962,0.421813423244698
gene-Nifk,NC_000067.7,+,7,0.101503641579673,0.421823146465371
gene-Pnma2,NC_000080.7,+,5,0.101533708725485,0.421823146465371
gene-Tubgcp4,NC_000068.8,+,21,0.101869437724298,0.423082028930104
gene-Stam2,NC_000068.8,-,14,0.101984976396042,0.423261818333378
gene-Gpr63,NC_000070.7,+,2,0.101999136673216,0.423261818333378
gene-Ikzf5,NC_000073.7,-,8,0.102010909127437,0.423261818333378
gene-Ift172,NC_000071.7,-,48,0.102045015017976,0.423267536634859
gene-Bend4,NC_000071.7,-,5,0.102214412584033,0.423834241086662
gene-Ssh2,NC_000077.7,+,20,0.102313854160421,0.424084698330857
gene-Ift81,NC_000071.7,-,21,0.102348095075219,0.424084698330857
gene-Ubxn2a,NC_000078.7,-,9,0.102373187055512,0.424084698330857
gene-5031439G07Rik,NC_000081.7,-,12,0.102426950915511,0.424171551774034
gene-Exosc7,NC_000075.7,+,10,0.102464832570362,0.424192599114116
gene-Diras1,NC_000076.7,-,3,0.102547321523357,0.424398242963704
gene-Ndfip2,NC_000080.7,+,10,0.102760416644363,0.425144103794481
gene-Kdm7a,NC_000072.7,-,21,0.10299878072064,0.425878833796546
gene-Mllt6,NC_000077.7,+,23,0.103007356884869,0.425878833796546
gene-Tmem63b,NC_000083.7,-,26,0.103036795093899,0.425878833796546
gene-Herc4,NC_000076.7,+,31,0.103143605226211,0.426184104278142
gene-Kcnh7,NC_000068.8,-,28,0.103302575768624,0.426704635073656
gene-Zhx3,NC_000068.8,-,3,0.103483590342694,0.427285853518228
gene-Afg2a,NC_000069.7,+,19,0.103509362025254,0.427285853518228
gene-Stag2,NC_000086.8,+,41,0.103619040515337,0.427602122203206
gene-Gpi1,NC_000073.7,-,18,0.103742727559228,0.427975979433332
gene-Smg5,NC_000069.7,+,29,0.103785978858862,0.428017877736499
gene-St6gal2,NC_000083.7,+,11,0.103861791192785,0.428193989638602
gene-Ccdc50,NC_000082.7,+,13,0.103983238138633,0.428558068466204
gene-Peak1,NC_000075.7,-,5,0.104044473292918,0.428673836603157
gene-Phtf2,NC_000071.7,-,19,0.1041893369294,0.429042920036894
gene-Rnf214,NC_000075.7,-,26,0.104200850492068,0.429042920036894
gene-Hmgxb4,NC_000074.7,+,15,0.104235084502518,0.429042920036894
gene-Brwd1,NC_000082.7,-,49,0.104296587357662,0.429042920036894
gene-Ip6k2,NC_000075.7,+,12,0.104299925817366,0.429042920036894
gene-Ccdc47,NC_000077.7,-,14,0.104344457727736,0.429089625371321
gene-Matcap1,NC_000074.7,-,12,0.104413742942538,0.42923806022754
gene-Arhgef9,NC_000086.8,-,19,0.104735597018825,0.430198011072008
gene-Ppp2r2a,NC_000080.7,-,12,0.104750003601254,0.430198011072008
gene-Gm50600,NC_000074.7,+,2,0.104764449452636,0.430198011072008
gene-Naa50,NC_000082.7,+,6,0.10478030889019,0.430198011072008
gene-Reep5,NC_000084.7,-,6,0.104829380458262,0.430262893515298
gene-Cul4b,NC_000086.8,-,21,0.104897208159884,0.430267382902669
gene-Gab1,NC_000074.7,-,13,0.104929114924558,0.430267382902669
gene-Ncam2,NC_000082.7,+,20,0.104989804998371,0.430267382902669
gene-Mak,NC_000079.7,-,3,0.104990802961619,0.430267382902669
gene-Hexim2,NC_000077.7,+,9,0.104996819024265,0.430267382902669
gene-Osbpl3,NC_000072.7,-,24,0.105138145611221,0.430710052958479
gene-Sap25,NC_000071.7,+,5,0.105205534584838,0.430849644960641
gene-Spcs3,NC_000074.7,-,5,0.105501212306961,0.431800959482383
gene-Azi2,NC_000075.7,+,17,0.105615869730731,0.431800959482383
gene-Firrm,NC_000067.7,-,24,0.105631624870397,0.431800959482383
gene-Dlgap1,NC_000083.7,+,24,0.105632131379707,0.431800959482383
gene-Slc25a27,NC_000083.7,-,36,0.105635325529133,0.431800959482383
gene-Scd1,NC_000085.7,-,6,0.105638153236083,0.431800959482383
gene-Reep1,NC_000072.7,+,10,0.105684297378531,0.431853086254832
gene-Pyroxd1,NC_000072.7,+,13,0.105722425305008,0.43187243413445
gene-Ripk1,NC_000079.7,+,12,0.105831597889395,0.432024699490953
gene-Vash1,NC_000078.7,+,9,0.105864543832741,0.432024699490953
gene-Kcna6,NC_000072.7,-,3,0.105916998492088,0.432024699490953
gene-Rbbp6,NC_000073.7,+,21,0.105918291305627,0.432024699490953
gene-Prpf39,NC_000078.7,+,20,0.105941588523677,0.432024699490953
gene-Casp3,NC_000074.7,+,8,0.105960128878474,0.432024699490953
gene-Mapkap1,NC_000068.8,+,13,0.106138176879837,0.432527918732899
gene-Dusp7,NC_000075.7,+,3,0.106151348897227,0.432527918732899
gene-Ptpn12,NC_000071.7,-,26,0.106192826245615,0.432527918732899
gene-Lgmn,NC_000078.7,-,14,0.106217325438466,0.432527918732899
gene-Rps6ka5,NC_000078.7,-,17,0.106329632781655,0.432848958377446
gene-Bub1,NC_000068.8,-,26,0.106479209627096,0.433321465735442
gene-Mrpl47,NC_000069.7,-,7,0.106618871456701,0.43375333895864
gene-Sec24b,NC_000069.7,-,24,0.106731426440664,0.434074697533682
gene-Gm30810,NC_000081.7,-,3,0.106942948694701,0.434739195857532
gene-Phf7,NC_000080.7,-,10,0.106962831836108,0.434739195857532
gene-Adgrb3,NC_000067.7,-,36,0.106995659198525,0.434739195857532
gene-Ube2d3,NC_000069.7,+,16,0.107228441163942,0.435548187680046
gene-Cipc,NC_000078.7,+,11,0.107328449162379,0.435648232719478
gene-Wdr3,NC_000069.7,-,28,0.107387466537015,0.435648232719478
gene-Hcn4,NC_000075.7,+,8,0.107391906259442,0.435648232719478
gene-Tent4b,NC_000074.7,+,14,0.107413712369173,0.435648232719478
gene-Sema4c,NC_000067.7,-,24,0.10742149649288,0.435648232719478
gene-Abi1,NC_000068.8,-,12,0.10758080077044,0.436157522371191
gene-Cox7c,NC_000079.7,-,3,0.107630835964877,0.436205512309908
gene-Cd200,NC_000082.7,-,7,0.107660093968393,0.436205512309908
gene-Spast,NC_000083.7,+,18,0.108014149985782,0.437502975811499
gene-Dscam,NC_000082.7,-,41,0.108075690729677,0.437580893849904
gene-Cry1,NC_000076.7,-,13,0.108139676454964,0.437580893849904
gene-Aff1,NC_000071.7,+,4,0.108158437675227,0.437580893849904
gene-Mgat3,NC_000081.7,+,4,0.10818370739282,0.437580893849904
gene-Ywhae,NC_000077.7,+,8,0.108202559230804,0.437580893849904
gene-Fhod1,NC_000074.7,-,9,0.10834506404095,0.438020229209631
gene-Slit1,NC_000085.7,-,39,0.108476959691684,0.438021812833743
gene-Sos1,NC_000083.7,-,22,0.10848274025019,0.438021812833743
gene-Tmed2,NC_000071.7,+,4,0.108509436954957,0.438021812833743
gene-Eps8l1,NC_000073.7,+,13,0.10854564882438,0.438021812833743
gene-Fbxo30,NC_000076.7,+,4,0.108612925693364,0.438021812833743
gene-Pms1,NC_000067.7,-,12,0.108618041371462,0.438021812833743
gene-Foxk1,NC_000071.7,+,9,0.10865412892711,0.438021812833743
gene-LOC102636360,NC_000074.7,+,2,0.108676058979333,0.438021812833743
gene-Chtf8,NC_000074.7,-,4,0.108684141141536,0.438021812833743
gene-Derpc,NC_000074.7,-,4,0.108684141141536,0.438021812833743
gene-Ankrd27,NC_000073.7,+,31,0.108769068490013,0.438227527346209
gene-Fbh1,NC_000068.8,-,24,0.108821965175294,0.43830410327377
gene-Zfp800,NC_000072.7,-,7,0.109159988568367,0.43939258400069
gene-Fanci,NC_000073.7,+,16,0.109160161787228,0.43939258400069
gene-Scg3,NC_000075.7,-,13,0.109268986256845,0.439693776994329
gene-Lamb1,NC_000078.7,+,35,0.109457225706275,0.440314245741604
gene-Pitpnc1,NC_000077.7,-,11,0.109541103273877,0.440495171132766
gene-Polr3b,NC_000076.7,+,28,0.109570321312465,0.440495171132766
gene-Aagab,NC_000075.7,+,13,0.109856342919279,0.441507794585156
gene-Cers1,NC_000074.7,+,8,0.109996300549828,0.441816040400925
gene-Aftph,NC_000077.7,-,11,0.11000136473293,0.441816040400925
gene-Uap1,NC_000067.7,-,11,0.110136785788981,0.442205771492389
gene-Alad,NC_000070.7,-,13,0.110166782320303,0.442205771492389
gene-Cs,NC_000076.7,+,11,0.110230093343669,0.442322617813738
gene-Magi3,NC_000069.7,-,22,0.110371094749453,0.442733857082063
gene-Fkbp5,NC_000083.7,-,11,0.110401042997731,0.442733857082063
gene-Csnk1g1,NC_000075.7,+,17,0.110503139088192,0.443005919971355
gene-Negr1,NC_000069.7,+,8,0.110654789818199,0.443476416708635
gene-Smg8,NC_000077.7,-,4,0.11071432114048,0.443577545015435
gene-Prkaa1,NC_000081.7,+,9,0.110862025371996,0.443763605403181
gene-Ran,NC_000071.7,+,8,0.110958388499277,0.443763605403181
gene-Btbd8,NC_000071.7,+,13,0.110968967273661,0.443763605403181
gene-Arhgef40,NC_000080.7,+,31,0.110970169259361,0.443763605403181
gene-Csf2ra,NC_000085.7,-,20,0.110973506424067,0.443763605403181
gene-Tmem120b,NC_000071.7,+,14,0.110980904532362,0.443763605403181
gene-Cop1,NC_000067.7,+,26,0.111018589853431,0.443763605403181
gene-Sfi1,NC_000077.7,-,39,0.111035260734918,0.443763605403181
gene-Sanbr,NC_000077.7,-,26,0.11111181268179,0.443875680715105
gene-Nmnat2,NC_000067.7,+,15,0.111139622641684,0.443875680715105
gene-Rmdn1,NC_000070.7,+,14,0.111166266901432,0.443875680715105
gene-Upf1,NC_000074.7,-,28,0.111312173646315,0.444301500021333
gene-Kmt5b,NC_000085.7,+,23,0.111349682261114,0.444301500021333
gene-Gm57534,NC_000075.7,-,2,0.111404495893227,0.444301500021333
gene-Upf3a,NC_000074.7,+,11,0.111410327423582,0.444301500021333
gene-Rab10,NC_000078.7,-,6,0.111562597807102,0.444771602169928
gene-Mark3,NC_000078.7,+,25,0.111643400420308,0.4447878368585
gene-Zdhhc15,NC_000086.8,-,9,0.111669693422068,0.4447878368585
gene-Msh2,NC_000083.7,+,16,0.111669845069168,0.4447878368585
gene-Zfp654,NC_000082.7,-,9,0.111894004832972,0.445543461978087
gene-Klhl29,NC_000078.7,-,14,0.112052317170017,0.445997418202779
gene-Sv2c,NC_000079.7,-,13,0.11207698207369,0.445997418202779
gene-Rassf2,NC_000068.8,-,13,0.112124643901129,0.446049836841986
gene-Ece2,NC_000082.7,+,19,0.112281074459401,0.446534789662801
gene-Rps12,NC_000076.7,-,10,0.112339984937617,0.446631732308086
gene-Sf3a2,NC_000076.7,+,9,0.112513639608585,0.447184665352745
gene-Wwc2,NC_000074.7,-,23,0.112728169337932,0.44778458279038
gene-Epha3,NC_000082.7,-,18,0.112733828312493,0.44778458279038
gene-Rpl36,NC_000083.7,+,5,0.112775602333646,0.447812976659822
gene-Gabpb2,NC_000069.7,-,11,0.112846685679323,0.447957699782285
gene-Ccng2,NC_000071.7,+,8,0.113130467620513,0.448838427232549
gene-Acsl6,NC_000077.7,+,28,0.113137962791163,0.448838427232549
gene-Cabp1,NC_000071.7,-,7,0.113339884711594,0.449501603488208
gene-Ctsf,NC_000085.7,+,15,0.113660700060234,0.450635755327716
gene-Il1rapl1,NC_000086.8,-,5,0.113754931310744,0.450871139026005
gene-Tmcc1,NC_000072.7,-,14,0.113805050620644,0.45093159303823
gene-Osbpl1a,NC_000084.7,-,34,0.113872549092097,0.451060850660978
gene-Tmsb4x,NC_000086.8,-,4,0.113981940902239,0.451298958385618
gene-Clock,NC_000071.7,-,26,0.114020425234283,0.451298958385618
gene-Kat2a,NC_000077.7,-,20,0.114043140922695,0.451298958385618
gene-Zcchc4,NC_000071.7,+,17,0.114072241163116,0.451298958385618
gene-Katna1,NC_000076.7,+,12,0.11429380555061,0.452037243787778
gene-Exoc3,NC_000079.7,-,14,0.114560790918562,0.452904116896788
gene-Abtb3,NC_000076.7,+,17,0.114631983789532,0.452904116896788
gene-Eps15l1,NC_000074.7,-,34,0.114690999830617,0.452904116896788
gene-Gng2,NC_000080.7,-,6,0.11470715946157,0.452904116896788
gene-B230219D22Rik,NC_000079.7,+,2,0.114726475527815,0.452904116896788
gene-Cask,NC_000086.8,-,30,0.114839912831629,0.452904116896788
gene-Rbm14,NC_000085.7,-,3,0.114852441667448,0.452904116896788
gene-Kdm4c,NC_000070.7,+,25,0.114859950591832,0.452904116896788
gene-Bicral,NC_000083.7,-,21,0.114903185124055,0.452904116896788
gene-Snx19,NC_000075.7,+,13,0.114931940308387,0.452904116896788
gene-Apbb2,NC_000071.7,-,24,0.114953970233542,0.452904116896788
gene-Slc8a3,NC_000078.7,-,8,0.11498105053496,0.452904116896788
gene-Taf3,NC_000068.8,-,7,0.114988917846005,0.452904116896788
gene-Asb1,NC_000067.7,+,6,0.11500325677639,0.452904116896788
gene-Dennd11,NC_000072.7,-,9,0.115050314192907,0.452951510945772
gene-Arhgap39,NC_000081.7,-,13,0.115200316467709,0.453313119236605
gene-Cttnbp2nl,NC_000069.7,-,7,0.11523648599972,0.453313119236605
gene-Cd24a,NC_000076.7,+,4,0.115247315862519,0.453313119236605
gene-Set,NC_000068.8,+,9,0.115535786617482,0.454309616395227
gene-Ssh1,NC_000071.7,-,15,0.115895780176044,0.455543441885668
gene-Lap3,NC_000071.7,+,13,0.115957195440588,0.455543441885668
gene-Parp12,NC_000072.7,-,3,0.115974264932322,0.455543441885668
gene-Nek4,NC_000080.7,+,17,0.115990454970193,0.455543441885668
