ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
962	"gene-Irx3os"	"Irx3os"	chrNC_000074.7	+	92530440	92534005	92530440	92531471	92531926	92534005
963	"gene-1810013D15Rik"	"1810013D15Rik"	chrNC_000069.7	+	157630844	157631883	157630844	157630983	157631739	157631883
964	"gene-Gm35884"	"Gm35884"	chrNC_000070.7	-	11675563	11676178	11675563	11675756	11676090	11676178
965	"gene-Gm38811"	"Gm38811"	chrNC_000072.7	-	51678505	51679589	51678505	51678769	51678920	51679589
966	"gene-Gm33610"	"Gm33610"	chrNC_000067.7	-	166925767	166930458	166925767	166927707	166930113	166930458
967	"gene-Hnrnpa2b1"	"Hnrnpa2b1"	chrNC_000072.7	-	51437909	51439035	51437909	51438413	51438899	51439035
968	"gene-Hnrnpa2b1"	"Hnrnpa2b1"	chrNC_000072.7	-	51437909	51439035	51437909	51438413	51438962	51439035
969	"gene-Hnrnpa2b1"	"Hnrnpa2b1"	chrNC_000072.7	-	51438899	51440234	51438899	51439035	51439318	51440234
970	"gene-Pkm"	"Pkm"	chrNC_000075.7	+	59566868	59570439	59566868	59568754	59570322	59570439
971	"gene-Nip7"	"Nip7"	chrNC_000074.7	+	107783724	107784043	107783724	107783811	107783904	107784043
972	"gene-Gm31365"	"Gm31365"	chrNC_000071.7	+	142797847	142798536	142797847	142798098	142798351	142798536
973	"gene-Gm31365"	"Gm31365"	chrNC_000071.7	+	142799008	142800103	142799008	142799316	142799913	142800103
974	"gene-Sptlc3"	"Sptlc3"	chrNC_000068.8	+	139335832	139336242	139335832	139335942	139336021	139336242
975	"gene-F730016J06Rik"	"F730016J06Rik"	chrNC_000068.8	+	28011826	28017319	28011826	28016769	28017174	28017319
976	"gene-Gm38442"	"Gm38442"	chrNC_000070.7	-	151723085	151724247	151723085	151723605	151724052	151724247
977	"gene-Mkks"	"Mkks"	chrNC_000068.8	-	136722170	136723559	136722170	136722246	136722450	136723559
978	"gene-Snap25"	"Snap25"	chrNC_000068.8	+	136611662	136612094	136611662	136611780	136611976	136612094
979	"gene-Arfgap1"	"Arfgap1"	chrNC_000068.8	+	180609017	180609607	180609017	180609122	180609326	180609607
980	"gene-Arfgap1"	"Arfgap1"	chrNC_000068.8	+	180609017	180609607	180609017	180609122	180609394	180609607
981	"gene-Dclre1c"	"Dclre1c"	chrNC_000068.8	+	3453884	3456391	3453884	3454235	3454631	3456391
982	"gene-Ap5s1"	"Ap5s1"	chrNC_000068.8	+	131054366	131055434	131054366	131054656	131054745	131055434
983	"gene-Ap5s1"	"Ap5s1"	chrNC_000068.8	+	131054366	131055434	131054366	131054656	131055089	131055434
984	"gene-9430053O09Rik"	"9430053O09Rik"	chrNC_000082.7	-	77198900	77210932	77198900	77201029	77205113	77210932
985	"gene-9430053O09Rik"	"9430053O09Rik"	chrNC_000082.7	-	77198900	77210932	77198900	77205021	77205113	77210932
986	"gene-9430053O09Rik"	"9430053O09Rik"	chrNC_000082.7	-	77216994	77219771	77216994	77217347	77217986	77219771
987	"gene-Slc4a11"	"Slc4a11"	chrNC_000068.8	-	130529290	130529608	130529290	130529404	130529482	130529608
988	"gene-Ddrgk1"	"Ddrgk1"	chrNC_000068.8	-	130497750	130498663	130497750	130497952	130498050	130498663
989	"gene-Necab3"	"Necab3"	chrNC_000068.8	-	154388589	154388836	154388589	154388643	154388720	154388836
990	"gene-Marchf8"	"Marchf8"	chrNC_000072.7	+	116314982	116315451	116314982	116315176	116315346	116315451
991	"gene-Gm32018"	"Gm32018"	chrNC_000075.7	-	95191853	95194555	95191853	95191997	95192426	95194555
992	"gene-Vinac1"	"Vinac1"	chrNC_000068.8	-	128902785	128907825	128902785	128903006	128903664	128907825
993	"gene-Gm32313"	"Gm32313"	chrNC_000067.7	+	194816774	194821644	194816774	194816896	194817237	194821644
994	"gene-Oprl1"	"Oprl1"	chrNC_000068.8	+	181357149	181357739	181357149	181357282	181357482	181357739
995	"gene-Oprl1"	"Oprl1"	chrNC_000068.8	+	181357482	181359886	181357482	181357724	181359747	181359886
996	"gene-Oprl1"	"Oprl1"	chrNC_000068.8	+	181357482	181359886	181357482	181357739	181359747	181359886
997	"gene-Oprl1"	"Oprl1"	chrNC_000068.8	+	181357482	181359886	181357482	181357739	181359788	181359886
998	"gene-Mroh2a"	"Mroh2a"	chrNC_000067.7	+	88174076	88174713	88174076	88174153	88174254	88174713
999	"gene-Gm35478"	"Gm35478"	chrNC_000068.8	+	127365248	127367117	127365248	127365485	127365601	127367117
1000	"gene-Gm35478"	"Gm35478"	chrNC_000068.8	+	127365248	127367117	127365248	127366680	127366962	127367117
1001	"gene-Gm51403"	"Gm51403"	chrNC_000080.7	+	76988350	76990500	76988350	76988469	76989861	76990500
1002	"gene-Mybph"	"Mybph"	chrNC_000067.7	+	134127687	134128185	134127687	134127874	134128132	134128185
1003	"gene-Mybph"	"Mybph"	chrNC_000067.7	+	134127687	134128972	134127687	134128185	134128682	134128972
1004	"gene-Mybph"	"Mybph"	chrNC_000067.7	+	134127687	134128972	134127687	134128185	134128685	134128972
1005	"gene-Gm39141"	"Gm39141"	chrNC_000074.7	+	23741322	23743000	23741322	23741397	23742826	23743000
1006	"gene-Gm14064"	"Gm14064"	chrNC_000068.8	+	137529569	137529942	137529569	137529675	137529755	137529942
1007	"gene-Gm30544"	"Gm30544"	chrNC_000073.7	+	37022920	37023970	37022920	37023065	37023863	37023970
1008	"gene-Gm30544"	"Gm30544"	chrNC_000073.7	+	37025277	37027319	37025277	37026806	37026995	37027319
1009	"gene-Gm11816"	"Gm11816"	chrNC_000070.7	-	9279257	9284455	9279257	9281990	9283626	9284455
1010	"gene-Gm11816"	"Gm11816"	chrNC_000070.7	-	9279257	9284455	9279257	9283766	9284202	9284455
1011	"gene-Spint1"	"Spint1"	chrNC_000068.8	+	119067840	119068724	119067840	119067953	119068181	119068724
1012	"gene-Spint1"	"Spint1"	chrNC_000068.8	+	119067840	119068724	119067840	119068027	119068181	119068724
1013	"gene-4930566D17Rik"	"4930566D17Rik"	chrNC_000074.7	+	126249070	126250051	126249070	126249725	126249965	126250051
1014	"gene-Cd72"	"Cd72"	chrNC_000070.7	-	43454241	43454628	43454241	43454349	43454445	43454628
1015	"gene-Pcdh18"	"Pcdh18"	chrNC_000069.7	-	49708826	49711723	49708826	49710453	49711483	49711723
1016	"gene-Pcdh18"	"Pcdh18"	chrNC_000069.7	-	49708826	49711723	49708826	49710456	49711483	49711723
1017	"gene-Cryab"	"Cryab"	chrNC_000075.7	+	50664270	50664777	50664270	50664384	50664485	50664777
1018	"gene-Cryab"	"Cryab"	chrNC_000075.7	+	50664270	50664777	50664270	50664395	50664485	50664777
1019	"gene-Gm39786"	"Gm39786"	chrNC_000068.8	-	30878261	30883260	30878261	30878719	30883076	30883260
1020	"gene-Gm39786"	"Gm39786"	chrNC_000068.8	-	30878261	30883260	30878261	30881429	30883076	30883260
1021	"gene-Gm39786"	"Gm39786"	chrNC_000068.8	-	30884568	30885390	30884568	30884746	30884927	30885390
1022	"gene-Gm39786"	"Gm39786"	chrNC_000068.8	-	30884568	30885642	30884568	30884746	30885479	30885642
1023	"gene-Gimap4"	"Gimap4"	chrNC_000072.7	+	48667304	48667882	48667304	48667391	48667775	48667882
1024	"gene-Gimap4"	"Gimap4"	chrNC_000072.7	+	48667304	48668996	48667304	48667391	48668299	48668996
1025	"gene-Gimap4"	"Gimap4"	chrNC_000072.7	+	48667304	48668996	48667304	48667882	48668331	48668996
1026	"gene-Gimap4"	"Gimap4"	chrNC_000072.7	+	48667304	48668996	48667304	48667882	48668345	48668996
1027	"gene-Fam53a"	"Fam53a"	chrNC_000071.7	-	33765674	33767830	33765674	33765833	33767775	33767830
1028	"gene-Reep4"	"Reep4"	chrNC_000080.7	+	70784369	70784675	70784369	70784446	70784554	70784675
1029	"gene-Zfp407"	"Zfp407"	chrNC_000084.7	-	84424683	84425918	84424683	84425487	84425847	84425918
1030	"gene-Gm33031"	"Gm33031"	chrNC_000073.7	+	139183759	139184954	139183759	139183987	139184465	139184954
1031	"gene-Gm4631"	"Gm4631"	chrNC_000068.8	-	175159577	175169059	175159577	175167841	175168998	175169059
1032	"gene-St6galnac4"	"St6galnac4"	chrNC_000068.8	+	32477099	32477693	32477099	32477239	32477592	32477693
1033	"gene-Tex15"	"Tex15"	chrNC_000074.7	+	34060602	34067606	34060602	34060725	34067380	34067606
1034	"gene-Cpeb1"	"Cpeb1"	chrNC_000073.7	-	80996773	80999620	80996773	80998187	80999539	80999620
1035	"gene-Cpeb1"	"Cpeb1"	chrNC_000073.7	-	81021759	81022223	81021759	81021948	81022156	81022223
1036	"gene-Cpeb1"	"Cpeb1"	chrNC_000073.7	-	81021759	81022223	81021759	81021951	81022156	81022223
1037	"gene-Elavl2"	"Elavl2"	chrNC_000070.7	-	91099769	91101392	91099769	91100358	91101265	91101392
1038	"gene-Elavl2"	"Elavl2"	chrNC_000070.7	-	91116607	91133574	91116607	91116859	91117499	91133574
1039	"gene-Elavl2"	"Elavl2"	chrNC_000070.7	-	91116607	91133574	91116607	91116859	91118600	91133574
1040	"gene-Elavl2"	"Elavl2"	chrNC_000070.7	-	91117499	91133574	91117499	91117619	91118600	91133574
1041	"gene-Elavl2"	"Elavl2"	chrNC_000070.7	-	91116607	91133574	91116607	91116859	91123197	91133574
1042	"gene-Elavl2"	"Elavl2"	chrNC_000070.7	-	91287674	91288302	91287674	91287773	91288052	91288302
1043	"gene-1700094M23Rik"	"1700094M23Rik"	chrNC_000069.7	-	152870526	152872124	152870526	152871446	152871972	152872124
1044	"gene-Cfap44"	"Cfap44"	chrNC_000082.7	+	44280509	44282072	44280509	44280705	44281820	44282072
1045	"gene-Cfap44"	"Cfap44"	chrNC_000082.7	+	44280509	44282072	44280509	44280705	44281992	44282072
1046	"gene-Cfap44"	"Cfap44"	chrNC_000082.7	+	44280509	44282072	44280509	44281904	44281992	44282072
1047	"gene-Pex6"	"Pex6"	chrNC_000083.7	+	47034599	47034953	47034599	47034661	47034844	47034953
1048	"gene-Gm32316"	"Gm32316"	chrNC_000068.8	-	30541553	30542147	30541553	30541623	30542027	30542147
1049	"gene-Gm32316"	"Gm32316"	chrNC_000068.8	-	30542629	30543228	30542629	30542717	30543058	30543228
1050	"gene-Gm46430"	"Gm46430"	chrNC_000079.7	-	74758318	74759440	74758318	74758445	74759382	74759440
1051	"gene-Gm46430"	"Gm46430"	chrNC_000079.7	-	74765320	74765635	74765320	74765406	74765508	74765635
1052	"gene-Capn15"	"Capn15"	chrNC_000083.7	-	26178780	26179537	26178780	26178959	26179038	26179537
1053	"gene-Capn15"	"Capn15"	chrNC_000083.7	-	26178780	26179537	26178780	26178959	26179310	26179537
1054	"gene-Capn15"	"Capn15"	chrNC_000083.7	-	26179038	26179537	26179038	26179205	26179310	26179537
1055	"gene-Srsf11"	"Srsf11"	chrNC_000069.7	-	157728477	157728996	157728477	157728587	157728879	157728996
1056	"gene-Srsf11"	"Srsf11"	chrNC_000069.7	-	157728477	157729868	157728477	157728587	157729759	157729868
1057	"gene-Srsf11"	"Srsf11"	chrNC_000069.7	-	157728477	157729868	157728477	157728996	157729759	157729868
1058	"gene-Srsf11"	"Srsf11"	chrNC_000069.7	-	157728477	157731737	157728477	157729868	157730334	157731737
1059	"gene-Srsf11"	"Srsf11"	chrNC_000069.7	-	157730334	157732495	157730334	157730398	157732361	157732495
1060	"gene-Srsf11"	"Srsf11"	chrNC_000069.7	-	157730334	157732495	157730334	157731737	157732361	157732495
1061	"gene-Gm35630"	"Gm35630"	chrNC_000068.8	+	25525155	25526445	25525155	25525636	25526351	25526445
1062	"gene-Ank1"	"Ank1"	chrNC_000074.7	+	23622112	23622650	23622112	23622487	23622577	23622650
1063	"gene-Ank1"	"Ank1"	chrNC_000074.7	+	23622112	23622650	23622112	23622499	23622577	23622650
1064	"gene-Ank1"	"Ank1"	chrNC_000074.7	+	23638296	23640513	23638296	23638416	23639637	23640513
1065	"gene-Gm57733"	"Gm57733"	chrNC_000071.7	+	124325135	124331353	124325135	124330599	124330906	124331353
1066	"gene-Zyx"	"Zyx"	chrNC_000072.7	+	42334785	42335497	42334785	42334919	42335102	42335497
1067	"gene-Large2"	"Large2"	chrNC_000068.8	-	92200910	92201238	92200910	92201008	92201083	92201238
1068	"gene-Gm32949"	"Gm32949"	chrNC_000067.7	+	55954118	55956378	55954118	55954567	55954801	55956378
1069	"gene-Dnajc21"	"Dnajc21"	chrNC_000081.7	-	10464559	10469282	10464559	10466248	10466397	10469282
1070	"gene-Zfp408"	"Zfp408"	chrNC_000068.8	-	91479280	91480120	91479280	91479371	91479495	91480120
1071	"gene-Zfp408"	"Zfp408"	chrNC_000068.8	-	91479495	91480120	91479495	91479770	91479986	91480120
1072	"gene-Zfp408"	"Zfp408"	chrNC_000068.8	-	91479495	91480120	91479495	91479770	91480048	91480120
1073	"gene-Gm32216"	"Gm32216"	chrNC_000069.7	+	117047591	117049894	117047591	117047765	117048667	117049894
1074	"gene-Mettl21a"	"Mettl21a"	chrNC_000067.7	-	64655431	64656923	64655431	64655603	64656090	64656923
1075	"gene-Mettl21a"	"Mettl21a"	chrNC_000067.7	-	64655431	64656923	64655431	64655603	64656320	64656923
1076	"gene-Agbl2"	"Agbl2"	chrNC_000068.8	+	90658453	90659625	90658453	90658832	90659151	90659625
1077	"gene-Fnbp4"	"Fnbp4"	chrNC_000068.8	+	90598196	90599044	90598196	90598299	90598386	90599044
1078	"gene-Fnbp4"	"Fnbp4"	chrNC_000068.8	+	90598196	90599044	90598196	90598299	90598859	90599044
1079	"gene-Fnbp4"	"Fnbp4"	chrNC_000068.8	+	90605093	90606565	90605093	90605192	90606248	90606565
1080	"gene-4930526I15Rik"	"4930526I15Rik"	chrNC_000075.7	-	124195124	124196189	124195124	124195695	124195814	124196189
1081	"gene-Gm13404"	"Gm13404"	chrNC_000068.8	+	33863735	33871492	33863735	33865337	33865849	33871492
1082	"gene-Gm13404"	"Gm13404"	chrNC_000068.8	+	33863735	33866944	33863735	33866201	33866779	33866944
1083	"gene-Gm13404"	"Gm13404"	chrNC_000068.8	+	33863735	33871492	33863735	33866944	33868522	33871492
1084	"gene-Gm13404"	"Gm13404"	chrNC_000068.8	+	33863735	33869029	33863735	33868693	33868787	33869029
1085	"gene-Gm13404"	"Gm13404"	chrNC_000068.8	+	33863735	33871492	33863735	33868693	33868868	33871492
1086	"gene-Gm13404"	"Gm13404"	chrNC_000068.8	+	33863735	33871492	33863735	33869029	33869747	33871492
1087	"gene-Lrrc8e"	"Lrrc8e"	chrNC_000074.7	+	4283914	4287470	4283914	4284114	4284920	4287470
1088	"gene-Commd7"	"Commd7"	chrNC_000068.8	-	153462365	153463739	153462365	153462414	153463689	153463739
1089	"gene-Zfp78"	"Zfp78"	chrNC_000073.7	+	6365812	6366916	6365812	6366438	6366738	6366916
1090	"gene-Meiosin"	"Meiosin"	chrNC_000073.7	-	18834710	18835174	18834710	18834943	18835015	18835174
1091	"gene-Meiosin"	"Meiosin"	chrNC_000073.7	-	18834710	18835174	18834710	18834946	18835015	18835174
1092	"gene-Meiosin"	"Meiosin"	chrNC_000073.7	-	18834710	18835174	18834710	18834943	18835081	18835174
1093	"gene-Meiosin"	"Meiosin"	chrNC_000073.7	-	18834710	18835174	18834710	18834946	18835081	18835174
1094	"gene-Meiosin"	"Meiosin"	chrNC_000073.7	-	18837614	18838925	18837614	18837708	18838688	18838925
1095	"gene-Deup1"	"Deup1"	chrNC_000075.7	-	15471853	15472681	15471853	15471978	15472669	15472681
1096	"gene-Gm32098"	"Gm32098"	chrNC_000074.7	-	27159462	27161815	27159462	27160411	27160643	27161815
1097	"gene-Gm32098"	"Gm32098"	chrNC_000074.7	-	27159462	27161815	27159462	27160411	27161598	27161815
1098	"gene-Rufy3"	"Rufy3"	chrNC_000071.7	+	88730923	88732176	88730923	88731813	88731988	88732176
1099	"gene-Gm35720"	"Gm35720"	chrNC_000084.7	+	62067997	62068612	62067997	62068117	62068378	62068612
1100	"gene-Gm35720"	"Gm35720"	chrNC_000084.7	+	62072736	62074979	62072736	62072871	62073038	62074979
1101	"gene-Adgra2"	"Adgra2"	chrNC_000074.7	+	27610793	27613453	27610793	27610927	27611029	27613453
1102	"gene-Gm12405"	"Gm12405"	chrNC_000070.7	+	41644966	41646559	41644966	41646232	41646466	41646559
1103	"gene-Ccnj"	"Ccnj"	chrNC_000085.7	+	40819684	40820532	40819684	40820294	40820422	40820532
1104	"gene-Gm19410"	"Gm19410"	chrNC_000074.7	+	36273861	36274315	36273861	36274063	36274150	36274315
1105	"gene-Brinp2"	"Brinp2"	chrNC_000067.7	-	158183086	158185096	158183086	158183242	158183565	158185096
1106	"gene-Nabp1"	"Nabp1"	chrNC_000067.7	-	51508646	51510570	51508646	51509085	51510129	51510570
1107	"gene-Gm33895"	"Gm33895"	chrNC_000070.7	+	140051052	140052035	140051052	140051319	140051637	140052035
1108	"gene-Gm34616"	"Gm34616"	chrNC_000067.7	+	89933656	89933817	89933656	89933703	89933788	89933817
1109	"gene-Gm34616"	"Gm34616"	chrNC_000067.7	+	89933946	89934834	89933946	89933976	89934252	89934834
1110	"gene-Brcc3"	"Brcc3"	chrNC_000086.8	+	74493574	74497607	74493574	74493748	74494289	74497607
1111	"gene-Brcc3"	"Brcc3"	chrNC_000086.8	+	74493574	74497607	74493574	74493751	74494289	74497607
1112	"gene-Gm33753"	"Gm33753"	chrNC_000068.8	+	61284049	61284436	61284049	61284119	61284190	61284436
1113	"gene-Dcun1d1"	"Dcun1d1"	chrNC_000069.7	-	35960128	35963428	35960128	35962896	35963340	35963428
1114	"gene-Gm15527"	"Gm15527"	chrNC_000072.7	-	54221904	54226371	54221904	54225229	54226170	54226371
1115	"gene-Gm15527"	"Gm15527"	chrNC_000072.7	-	54231550	54232149	54231550	54231689	54231869	54232149
1116	"gene-Ypel4"	"Ypel4"	chrNC_000068.8	+	84565344	84567309	84565344	84566776	84566982	84567309
1117	"gene-Gm46825"	"Gm46825"	chrNC_000069.7	-	129689533	129691523	129689533	129690002	129691387	129691523
1118	"gene-Gm46825"	"Gm46825"	chrNC_000069.7	-	129689533	129691523	129689533	129691180	129691387	129691523
1119	"gene-Gm46825"	"Gm46825"	chrNC_000069.7	-	129692553	129695080	129692553	129693769	129694947	129695080
1120	"gene-Gm46825"	"Gm46825"	chrNC_000069.7	-	129692553	129695080	129692553	129693769	129694953	129695080
1121	"gene-Gm46825"	"Gm46825"	chrNC_000069.7	-	129692553	129695080	129692553	129693769	129694965	129695080
1122	"gene-Sec62"	"Sec62"	chrNC_000069.7	+	30872648	30875412	30872648	30873085	30873724	30875412
1123	"gene-Gm29975"	"Gm29975"	chrNC_000081.7	-	27970095	27971491	27970095	27971402	27971447	27971491
1124	"gene-Gm29975"	"Gm29975"	chrNC_000081.7	-	27971447	27971666	27971447	27971491	27971583	27971666
1125	"gene-Gm29975"	"Gm29975"	chrNC_000081.7	-	27971724	27971920	27971724	27971781	27971838	27971920
1126	"gene-Gm29975"	"Gm29975"	chrNC_000081.7	-	27971762	27995160	27971762	27971920	27972155	27995160
1127	"gene-Gm29975"	"Gm29975"	chrNC_000081.7	-	27972155	27995160	27972155	27972798	27972849	27995160
1128	"gene-Ints2"	"Ints2"	chrNC_000077.7	-	86146848	86147323	86146848	86147155	86147247	86147323
1129	"gene-Ints2"	"Ints2"	chrNC_000077.7	-	86146848	86147323	86146848	86147155	86147262	86147323
1130	"gene-Ints2"	"Ints2"	chrNC_000077.7	-	86146848	86148420	86146848	86147155	86148029	86148420
1131	"gene-C2cd6"	"C2cd6"	chrNC_000067.7	-	59042299	59045776	59042299	59045696	59045744	59045776
1132	"gene-C2cd6"	"C2cd6"	chrNC_000067.7	-	59042299	59046973	59042299	59045776	59046181	59046973
1133	"gene-C2cd6"	"C2cd6"	chrNC_000067.7	-	59042299	59046973	59042299	59045688	59046192	59046973
1134	"gene-Gm35317"	"Gm35317"	chrNC_000068.8	-	77152136	77153900	77152136	77153652	77153759	77153900
1135	"gene-Gfer"	"Gfer"	chrNC_000083.7	-	24912163	24913416	24912163	24912586	24913141	24913416
1136	"gene-Alpk1"	"Alpk1"	chrNC_000069.7	-	127460366	127464780	127460366	127464520	127464591	127464780
1137	"gene-Nelfb"	"Nelfb"	chrNC_000068.8	-	25100720	25101501	25100720	25100884	25101113	25101501
1138	"gene-Krt78"	"Krt78"	chrNC_000081.7	-	101854435	101856524	101854435	101855025	101855355	101856524
1139	"gene-Itpripl1"	"Itpripl1"	chrNC_000068.8	-	126980688	126984134	126980688	126983646	126983893	126984134
1140	"gene-Ahnak"	"Ahnak"	chrNC_000085.7	+	8979062	8996560	8979062	8982525	8989524	8996560
1141	"gene-Ahnak"	"Ahnak"	chrNC_000085.7	+	8979062	8996560	8979062	8988831	8991969	8996560
1142	"gene-Atp13a2"	"Atp13a2"	chrNC_000070.7	+	140721258	140721702	140721258	140721373	140721622	140721702
1143	"gene-Atp13a2"	"Atp13a2"	chrNC_000070.7	+	140721258	140721702	140721258	140721373	140721625	140721702
1144	"gene-Tpcn2"	"Tpcn2"	chrNC_000073.7	-	144739753	144740596	144739753	144739912	144740394	144740596
1145	"gene-Tpcn2"	"Tpcn2"	chrNC_000073.7	-	144739753	144740596	144739753	144740215	144740394	144740596
1146	"gene-Metap1d"	"Metap1d"	chrNC_000068.8	+	71340084	71341904	71340084	71340234	71341755	71341904
1147	"gene-Gm46828"	"Gm46828"	chrNC_000069.7	-	143932209	143934037	143932209	143932303	143932814	143934037
1148	"gene-Pts"	"Pts"	chrNC_000075.7	-	50436452	50437091	50436452	50436584	50436930	50437091
1149	"gene-Pts"	"Pts"	chrNC_000075.7	-	50436561	50437091	50436561	50436584	50436991	50437091
1150	"gene-Vps16"	"Vps16"	chrNC_000068.8	+	130282150	130282499	130282150	130282282	130282371	130282499
1151	"gene-Mettl5"	"Mettl5"	chrNC_000068.8	-	69701541	69702125	69701541	69701660	69702075	69702125
1152	"gene-Mettl5"	"Mettl5"	chrNC_000068.8	-	69715592	69717961	69715592	69716148	69716236	69717961
1153	"gene-4930412M03Rik"	"4930412M03Rik"	chrNC_000077.7	-	60003042	60006058	60003042	60003619	60005520	60006058
1154	"gene-Gm41756"	"Gm41756"	chrNC_000084.7	-	65171276	65182098	65171276	65181933	65182020	65182098
1155	"gene-Gm41756"	"Gm41756"	chrNC_000084.7	-	65183228	65183955	65183228	65183410	65183563	65183955
1156	"gene-Gm46760"	"Gm46760"	chrNC_000068.8	-	125042014	125043175	125042014	125042661	125042771	125043175
1157	"gene-Spata31h1"	"Spata31h1"	chrNC_000076.7	-	82117947	82132694	82117947	82131320	82131497	82132694
1158	"gene-Arhgap21"	"Arhgap21"	chrNC_000068.8	-	20857848	20859043	20857848	20857880	20858768	20859043
1159	"gene-Arhgap21"	"Arhgap21"	chrNC_000068.8	-	20858768	20859851	20858768	20858792	20859745	20859851
1160	"gene-Arhgap21"	"Arhgap21"	chrNC_000068.8	-	20858768	20859851	20858768	20859043	20859745	20859851
1161	"gene-Lilra6"	"Lilra6"	chrNC_000073.7	-	3918250	3918500	3918250	3918286	3918440	3918500
1162	"gene-Dnai1"	"Dnai1"	chrNC_000070.7	+	41632139	41632488	41632139	41632288	41632388	41632488
1163	"gene-Tial1"	"Tial1"	chrNC_000073.7	-	128045530	128045824	128045530	128045670	128045765	128045824
1164	"gene-Tial1"	"Tial1"	chrNC_000073.7	-	128045765	128046128	128045765	128045824	128046004	128046128
1165	"gene-Tial1"	"Tial1"	chrNC_000073.7	-	128048454	128048831	128048454	128048522	128048762	128048831
1166	"gene-Tial1"	"Tial1"	chrNC_000073.7	-	128048454	128048831	128048454	128048522	128048765	128048831
1167	"gene-Tial1"	"Tial1"	chrNC_000073.7	-	128048454	128049932	128048454	128048522	128049844	128049932
1168	"gene-Tial1"	"Tial1"	chrNC_000073.7	-	128048454	128049932	128048454	128048831	128049844	128049932
1169	"gene-Cd40"	"Cd40"	chrNC_000068.8	+	164911548	164911768	164911548	164911635	164911736	164911768
1170	"gene-Cd40"	"Cd40"	chrNC_000068.8	+	164911548	164911768	164911548	164911635	164911741	164911768
1171	"gene-Gm2007"	"Gm2007"	chrNC_000068.8	+	175540688	175550170	175540688	175540749	175541906	175550170
1172	"gene-Catip"	"Catip"	chrNC_000067.7	+	74401525	74402106	74401525	74401681	74401908	74402106
1173	"gene-Catip"	"Catip"	chrNC_000067.7	+	74401525	74402106	74401525	74401818	74401908	74402106
1174	"gene-Adam33"	"Adam33"	chrNC_000068.8	-	130892741	130893290	130892741	130893073	130893146	130893290
1175	"gene-Adam33"	"Adam33"	chrNC_000068.8	-	130894961	130895508	130894961	130895070	130895309	130895508
1176	"gene-Adam33"	"Adam33"	chrNC_000068.8	-	130898384	130898712	130898384	130898461	130898633	130898712
1177	"gene-Adam33"	"Adam33"	chrNC_000068.8	-	130898384	130900417	130898384	130898712	130900000	130900417
1178	"gene-Gm46455"	"Gm46455"	chrNC_000080.7	+	55416325	55417638	55416325	55416368	55416505	55417638
1179	"gene-Gm26578"	"Gm26578"	chrNC_000074.7	+	32499968	32502596	32499968	32500189	32502483	32502596
1180	"gene-Gm26578"	"Gm26578"	chrNC_000074.7	+	32505241	32508413	32505241	32505301	32506099	32508413
1181	"gene-Tspan17"	"Tspan17"	chrNC_000079.7	+	54943969	54944588	54943969	54944031	54944410	54944588
1182	"gene-Gm36167"	"Gm36167"	chrNC_000071.7	+	100258429	100263520	100258429	100258502	100259076	100263520
1183	"gene-Gm36167"	"Gm36167"	chrNC_000071.7	+	100258429	100263520	100258429	100258623	100259076	100263520
1184	"gene-Gm36167"	"Gm36167"	chrNC_000071.7	+	100258429	100263520	100258429	100258502	100259081	100263520
1185	"gene-Gm36167"	"Gm36167"	chrNC_000071.7	+	100258429	100263520	100258429	100259194	100259303	100263520
1186	"gene-Gm35172"	"Gm35172"	chrNC_000071.7	+	99657374	99658273	99657374	99657438	99658022	99658273
1187	"gene-Gm34557"	"Gm34557"	chrNC_000079.7	-	54088360	54089302	54088360	54088466	54088774	54089302
1188	"gene-Gm46738"	"Gm46738"	chrNC_000068.8	-	49633513	49636083	49633513	49633951	49634343	49636083
1189	"gene-Gm46738"	"Gm46738"	chrNC_000068.8	-	49633513	49636083	49633513	49635729	49635937	49636083
1190	"gene-Gm46738"	"Gm46738"	chrNC_000068.8	-	49633513	49636083	49633513	49635729	49636016	49636083
1191	"gene-Dusp15"	"Dusp15"	chrNC_000068.8	-	152782914	152785373	152782914	152784289	152784392	152785373
1192	"gene-Gm41914"	"Gm41914"	chrNC_000067.7	-	89482911	89491194	89482911	89483094	89483479	89491194
1193	"gene-Gm41914"	"Gm41914"	chrNC_000067.7	-	89482911	89491194	89482911	89488469	89490985	89491194
1194	"gene-Rtkn"	"Rtkn"	chrNC_000072.7	+	83113974	83115227	83113974	83114437	83114941	83115227
1195	"gene-4930533I22Rik"	"4930533I22Rik"	chrNC_000072.7	+	57453597	57454740	57453597	57453775	57454333	57454740
1196	"gene-4930533I22Rik"	"4930533I22Rik"	chrNC_000072.7	+	57461498	57462842	57461498	57462198	57462757	57462842
1197	"gene-4930533I22Rik"	"4930533I22Rik"	chrNC_000072.7	+	57461498	57462842	57461498	57462214	57462757	57462842
1198	"gene-Gm29791"	"Gm29791"	chrNC_000073.7	-	44439815	44440298	44439815	44440071	44440171	44440298
1199	"gene-Cnot6"	"Cnot6"	chrNC_000077.7	-	49579991	49580178	49579991	49580085	49580173	49580178
1200	"gene-Gtpbp3"	"Gtpbp3"	chrNC_000074.7	+	71943709	71944234	71943709	71943853	71944068	71944234
